id,titulo,data,local,imagem_url,tipo,descricao
1,I Evento Oficial de Posse,2018-07-20,Tribunal de Contas de Santa Catarina - TCSC,imagens/eventos/ID00015-Evento-Oficial-20-07-2018.png,oficial,"Realizado o primeiro Evento Oficial de Posse Acadêmica no Tribunal de Contas de Santa Catarina."
2,II Evento Oficial de Posse,2019-05-24,Teatro Municipal Bruno Nitz - Balneário Camboriú/SC,imagens/eventos/ID00073-evento-oficial-II-Posse-24-05-2019.png,oficial,"II Evento Oficial de Posse Acadêmica realizado em Balneário Camboriú."
3,III Evento Oficial de Posse Acadêmica,2019-08-29,Biblioteca Pública de SC,imagens/eventos/ID00072-evento-oficial-III-Evento-Posse-29-08-2019.png,oficial,"III Evento Oficial de Posse Acadêmica na Biblioteca Pública de Santa Catarina."
4,IV Evento Oficial de Posse,2019-10-18,Auditório Antonieta de Barros - ALESC,imagens/eventos/ID00070-Evento-Oficial-18-10-19.png,oficial,"IV Evento Oficial de Posse realizado na Assembleia Legislativa de Santa Catarina."
5,V Evento Oficial de Posse,2021-07-09,Salão de Atos OAB Itajaí/SC,imagens/eventos/ID00074-Evento-Oficial-V-Posse-09-07-2021.png,oficial,"V Evento Oficial de Posse Acadêmica na OAB Itajaí."
6,Evento Oficial de Posse On-Line,2021-07-09,Online,imagens/eventos/ID00067-Evento-Oficial-V-Posse-OnLine-09-07-21.png,oficial,"Evento Oficial de Posse realizado de forma online devido à pandemia."
7,VI Evento Oficial de Posse,2021-11-19,Online,imagens/eventos/ID00077-evento-oficial-Marcos-Costa.png,oficial,"VI Evento Oficial de Posse Acadêmica realizado online."
8,VII Evento Oficial Posse ANACLA JUN/22,2022-06-24,Auditório do Tribunal de Contas de Santa Catarina - TCSC,imagens/eventos/ID00065-Evento-Oficial-24-06-22.png,oficial,"Realizado o evento oficial de posse acadêmica no Auditório do TCSC."
9,Fundação da Sucursal ANACLA-Brasília/DF,2022-01-01,Brasília/DF,imagens/eventos/ID00079-Evento-23-05-23-Online.png,oficial,"Fundação da Sucursal da ANACLA em Brasília."
10,III Mostra de Arte e Literatura,2022-01-01,Espaço Cultural da OAB Subseção-Itajaí/SC,imagens/eventos/ID00065-Evento-Oficial-24-06-22.png,mosalc,"A D. I. da Sucursal ANACLA- Itajaí/SC, Rosita M. Maia realizou uma exposição com apresentações artísticas."
11,A Arte Sustentável que Salva a Terra,2022-01-01,Balneário Camboriú/SC,imagens/eventos/ID00077-evento-oficial-Marcos-Costa.png,mosalc,"A ANACLA, através da Sucursal de Balneário Camboriú/SC, realizou uma exposição de artes."
12,II obra ANACLA HISTÓRIA & VIDA,2022-09-08,1ª Bienal do Livro de São José/SC,imagens/eventos/ID00065-Evento-Oficial-24-06-22.png,feira,"Apresentação da II Obra inédita da Instituição na Bienal do Livro."
13,I Bienal do Livro 2022,2022-09-07,São José/SC,imagens/eventos/ID00079-Evento-23-05-23-Online.png,feira,"A ANACLA esteve na Iª Bienal do Livro em São José/SC."
