cadeira,nome,foto_url,biografia,profissao,nascimento,falecimento
1,Dr. Cibélis da Rocha Vianna,imagens/patronos/1.png,"Professor Doutor em Ciências Contábeis pela UFRGS. Foi membro do Conselho de Pesquisas da UFRGS. Gaúcho natural de Tapes/RS. Chefe de Gabinete do Governo do Rio Grande do Sul na década de 1950. Presidente do Banco do Estado do Rio de Janeiro com a Secretaria Estadual da Fazenda. Autor de 14 livros técnicos e históricos.",Professor e Político,23/08/1919,21/10/2014
3,Henrique da Silva Fontes,imagens/patronos/3.png,"Desembargador aposentado do Tribunal de Justiça de Santa Catarina.",Desembargador,
4,Cora Coralina,imagens/patronos/4.png,"Poetisa e escritora brasileira. Sua obra é um marco da literatura brasileira, retratando a vida simples e o cotidiano com profundidade e poesia.",Poetisa e Escritora,20/08/1910,10/04/2014
6,Lauro Junkes,imagens/patronos/6.png,"",,
7,Guimarães Rosa,imagens/patronos/7.png,"Escritor, contista, tradutor e diplomata brasileiro. Uma das figuras mais importantes da literatura brasileira do século XX. Autor de obras como Sagarana, Grande Sertão: Veredas e Primeiras Estórias.",Escritor e Diplomata,27/06/1908,19/11/1967
9,Tarsila do Amaral,imagens/patronos/9.png,"Pintora, desenhista e escultora brasileira. Uma das principais figuras do movimento antropofágico e do modernismo brasileiro.",Pintora,01/09/1886,17/01/1973
10,Cecília Meireles,imagens/patronos/10.png,"Poetisa, professora, jornalista e escritora brasileira. Uma das maiores poetisas da língua portuguesa.",Poetisa,07/11/1901,09/11/1964
11,Antonio Carlos Jobim,imagens/patronos/11.png,"Compositor, maestro, pianista, cantor e violonista brasileiro. Considerado o principal expoente da bossa nova e um dos maiores compositores brasileiros.",Compositor e Músico,12/01/1927,08/12/1994
12,Hoydo de Gouvêa Lins,imagens/patronos/12.png,"",,
13,Rubem Alves,imagens/patronos/13.png,"Teólogo, escritor e psicanalista brasileiro. Autor de obras que misturam teologia, psicologia e literatura.",Teólogo e Escritor,26/09/1933,21/07/2014
14,Franz Peter Schubert,imagens/patronos/14.png,"Compositor austríaco do período clássico/romântico. Uma das figuras mais importantes da música ocidental.",Compositor,31/01/1797,19/11/1828
15,José de Alencar,imagens/patronos/15.png,"Advogado, jornalista, político, orador, romancista e teatrólogo brasileiro. Patrono da cadeira 23 da Academia Brasileira de Letras, por escolha de Machado de Assis. O patriarca da literatura brasileira.",Advogado e Escritor,01/05/1829,12/12/1877
